Timestamp,Email Address,Nama Petugas,ID Mesin,Nama Lokasi,ATM Region,WEEK,SEKTOR
,,,S1AW10SR,BTM SM KAPITAPLZ 01,,Week 1,BATAM CENTRE
,,,S1AW1TSL,BTM ID PTSMOE 01,,Week 1,BATAM CENTRE
,,,S1AW1TSU,BTM PL NONGSATERMINAL 01,,Week 1,BATAM CENTRE
,,,S1AWAJ9M,BTM RS SANTA ELISABETH 01,,Week 1,BATAM CENTRE
,,,S1RH10SC,BTM PB MINIPUNGGUR CRM02,,Week 1,BATAM CENTRE
,,,S1RH1JIT,BTM CB BATAMKABIL 01,,Week 1,BATAM CENTRE
,,,S1RH1JS7,BTM MP BOTANIA 05,,Week 1,BATAM CENTRE
,,,S1RH1JSE,BTM SM MUSTAFAPLZA 01,,Week 1,BATAM CENTRE
,,,S1RH1JSX,BTM AM JASINTA PUNGGUR 01,,Week 1,BATAM CENTRE
,,,S1RH1T95,BTM PB NONGSA 01,,Week 1,BATAM CENTRE
,,,S1RH1T96,BTM CB BOTANIA 02,,Week 1,BATAM CENTRE
,,,S1RH1T9Z,BTM PB ISMADISALAM 01,,Week 1,BATAM CENTRE
,,,S1RH1TID,BTM MP TARAS 01,,Week 1,BATAM CENTRE
,,,S1RHAJ94,BTM PB ERAPERDANAKABIL 02,,Week 1,BATAM CENTRE
,,,S1RHAJ99,BTM PB MINIPUNGGUR 01,,Week 1,BATAM CENTRE
,,,S1RHAJ9B,BTM CB HANGNADIM 01,,Week 1,BATAM CENTRE
,,,S1RHAJIE,BTM PL TELAGA PUNGGUR 01,,Week 1,BATAM CENTRE
,,,S1RKAJSK,BTM CB BOTANIA CRM,,Week 1,BATAM CENTRE
,,,S1ROAJSF,BTM MP BOTANIA 2 01,,Week 1,BATAM CENTRE
,,,S1RHAJIX,BTM CB BATAM KABIL 02,,Week 1,BATAM CENTRE
,,,S1AW1JI9,BTM IM BATAMIND SQUARE 01,,Week 1,BATAMINDO
,,,S1RH10S3,BTM CB INDSPARK 01,,Week 1,BATAMINDO
,,,S1AWAJ9A,BTM ID PTEPCOSINDNSIA 02,,Week 1,BATAMINDO
,,,S1AW1TSI,BTM HT BESTWESTERN 01,,Week 1,BATAMINDO
,,,S1AW1TSX,BTM IM ASTAKA 01,,Week 1,BATAMINDO
,,,S1AW1TSJ,BTM ID TDK 01,,Week 1,BATAMINDO
,,,S1RH1T9J,BTM PB TEMBESI 03,,Week 1,BATAMINDO
,,,S1AW1TSN,BTM ID PTSCHNEIDER 01,,Week 1,BATAMINDO
,,,S1RH1J9Z,BTM CB PANBIL 03,,Week 1,BATAMINDO
,,,S1RH1TI0,BTM PB TEMBESI 01,,Week 1,BATAMINDO
,,,S1RHAJ9S,BTM PB TJGPIAYU 03,,Week 1,BATAMINDO
,,,S1RHAJ95,BTM MP TOP100TEMBESSI 01,,Week 1,BATAMINDO
,,,S1RH10I7,BTM MP PANBIL 02,,Week 1,BATAMINDO
,,,S1AW1TSP,BTM ID PHILIPS PANBIL 01,,Week 1,BATAMINDO
,,,S1RH1TI1,BTM IM PURI AGUNG 01,,Week 1,BATAMINDO
,,,S1RH1T9M,BTM CB MMUTANJUNGPIAYU 01,,Week 1,BATAMINDO
,,,S1RHAJSI,BTM IM BIDAAYU 01,,Week 1,BATAMINDO
,,,S1AWA0S0,BTM ID KYOCERAIND 01,,Week 1,BATAMINDO
,,,S1RH1T94,BTM IM TJPIAYU 01,,Week 1,BATAMINDO
,,,S1RHAJ93,BTM CB MMUTANJUNGPIAYU,,Week 1,BATAMINDO
,,,S1RH1T9H,BTM PB NORISA 02,,Week 1,BATAMINDO
,,,S1RH1T99,BTM PB BINTANGCIPTA 01,,Week 1,BATAMINDO
,,,S1RHAJIO,BTM MP SENTOSAPERDANA 03,,Week 1,BATUAJI
,,,S1RH1TIC,BTM MP SENTOSAPERDANA 02,,Week 1,BATUAJI
,,,S1RHAJI7,BTM MP SENTOSAPERDANA 01,,Week 1,BATUAJI
,,,S1RH1TI7,BTM MP SENTOSA PERDANA 02,,Week 1,BATUAJI
,,,S1RHAJ9L,BTM MP SENTOSAPERDANA 04,,Week 1,BATUAJI
,,,S1RK1TIQ,BTM SB SPLAZA 02 CRM,,Week 1,BATUAJI
,,,S1RKAJS4,BTM SB SPLAZA 01,,Week 1,BATUAJI
,,,S1RK10SZ,BTM SB SPLAZA 03,,Week 1,BATUAJI
,,,S1RK10SX,BTM PS FANINDO 05,,Week 1,BATUAJI
,,,S1AW1J9T,BTM SM PLZAAVIARY 01,,Week 1,BATUAJI
,,,S1AW1JIL,BTM PB BASECAMP 01,,Week 1,BATUAJI
,,,S1RHAJIU,BTM PS FANINDO 04,,Week 1,BATUAJI
,,,S1RHAJSH,BTM AM SABARINDAH 01,,Week 1,BATUAJI
,,,S1AW1J9W,BTM ID LATRADEBATAM 01,,Week 1,BATUAJI
,,,S1AW1TSK,BTM RS EMBUNGFATIMAH 01,,Week 1,BATUAJI
,,,S1RHA0IZ,BTM CB FANINDO 03,,Week 1,BATUAJI
,,,S1RH10SH,BTM SM PINTARIA 01,,Week 1,BATUAJI
,,,S1ROA092,BTM MP AVIARI SAPRDNA 01,,Week 1,BATUAJI
,,,S1RH1T90,BTM SM PLZAAVIARY 02,,Week 1,BATUAJI
,,,S1RH10I5,BTM AM TAMANLAGUNA 01,,Week 1,BATUAJI
,,,S1AWAJ90,BTM RS SANTAELISABETH 03,,Week 1,BATUAJI
,,,S1AW1JSC,BTM MP AVIARISAPRDNA 03,,Week 1,BATUAJI
,,,S1AWAJ9O,BTM MP AVIARISAPRDNA 05,,Week 1,BATUAJI
,,,S1RH10S0,BTM CB FANINDO 01,,Week 1,BATUAJI
,,,S1AW1JSB,BTM PS CIPTAGRAND CITY 01,,Week 1,BATUAJI
,,,S1AW10SI,BTM PS SAGULUNG 01,,Week 1,BATUAJI
,,,S1AW1TSQ,BTM PS SAGULUNG 02,,Week 1,BATUAJI
,,,S1RH1JSK,BTM CB FANINDO 02,,Week 1,BATUAJI
,,,S1AW1TSS,BTM PS SAGULUNG 03,,Week 1,BATUAJI
,,,S1AW1JIR,BTM MP MITRA 01,,Week 1,BATUAJI
,,,S1RHAJ9G,BTM MP FANINDO 01,,Week 1,BATUAJI
,,,S1RH1TSF,BTM SM PINTARIA 02,,Week 1,BATUAJI
,,,S1RH1T92,BTM SM PLZAAVIARY 03,,Week 1,BATUAJI
,,,S1RHAJ9C,BTM PB AVIARY 04,,Week 1,BATUAJI
,,,S1AW1JI3,BTM ID PT MCDERMOTT 01,,Week 1,BENGKONG
,,,S1AW1JID,BTM TK MCDERMOTT 03,,Week 1,BENGKONG
,,,S1AW1TSO,BTM SM JDHBNGKONG 04,,Week 1,BENGKONG
,,,S1AW1TSR,BTM HT MARRIOTT 01,,Week 1,BENGKONG
